PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
2802353,16000088,4,2016-01-01T01:23:00,"3300 Block Hamlet ST Pittsburgh, PA 15213",N,South Oakland,4,PROP MISSILE INTO OCC VEHICLE/OR ROADWAY,2705 Recklessy Endangering Another Person. / 2707 Propulsion of Missiles  / 3304 Criminal Mischief.,409,6,3,-79.96278662,40.43568631
2804532,16000086,17,2016-01-01T01:25:00,Zone 1,Y,,1,INDECENT EXPOSURE,2709(a) Harassment. / 3127 Indecent Exposure. / 2709(b) Stalking,,,,,
2802958,16000085,4,2016-01-01T01:26:00,"Edmond ST & Corday WY Pittsburgh, PA 15224",Y,Bloomfield,5,AGG ASSAULT/KNIFE/INJURY,2702 Aggravated Assault. / 2706 Terroristic Threats. / 4914 False Identification to Law Enforcement Authorities,809,7,2,-79.94795985,40.4616505
2802351,16000087,99,2016-01-01T01:26:00,"1300 Block Beechview AV Pittsburgh, PA 15216",Y,Beechview,6,NA,9497 Aided Case,1916,4,5,-80.02529919,40.4161926
2801866,16000432,6,2016-01-01T01:30:00,"20 Block Market (Nola on theSquare) ST Pittsburgh, PA 15222",N,Golden Triangle/Civic Arena,2,THEFT FROM BUILDING,3921 Theft by Unlawful Taking or Disposition.,201,6,6,-80.00425882,40.43807146
2802322,16000046,99,2016-01-01T01:30:00,"1000 Block 5th AV Pittsburgh, PA 15219",N,Bluff,2,NA,9999 Miscellaneous Report (No Crime),103,6,3,-79.99083635,40.43856481
2801328,16001456,4,2016-01-01T01:30:00,"20th ST & Smallman ST Pittsburgh, PA 15222",N,Strip District,2,AGG ASSAULT/STRONGARM/INJURY,2701 Simple Assault. / 2709 Harassment (Non-Specific),203,7,6,-79.98470394,40.45172811
2819972,16055653,11,2016-01-01T01:30:00,"300 Block Bailey AV Pittsburgh, PA 15211",Y,Mount Washington,3,CREDIT CARDS,4106 Access Device Fraud,1807,3,4,-80.00244888,40.42675878
2802354,16000093,10,2016-01-01T01:33:00,"1500 Block E Carson ST Pittsburgh, PA 15203",Y,South Side Flats,3,HARRASSMENT/THREAT/ATTEMPT/PHY,2701 Simple Assault. / 2702 Aggravated Assault. / 2709(a) Harassment. / 5503 Disorderly Conduct. / 5505 Public Drunkenness,1702,3,4,-79.98330671,40.42868483
2801998,16002598,99,2016-01-01T01:35:00,"1000 Block Idlewood AV Pittsburgh, PA 15205",N,East Carnegie,6,NA,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2805,2,5,-80.07289057,40.41746178
2803900,16000099,4,2016-01-01T01:35:00,"2700 Block S Water ST Pittsburgh, PA 15203",Y,South Side Flats,3,AGG ASSAULT/OTHER/INJURY,2702 Aggravated Assault.,1609,3,4,-79.96325261,40.42745662
2802359,16000096,4,2016-01-01T01:35:00,"700 Block Woodlow ST Pittsburgh, PA 15205",N,Crafton Heights,6,AGG ASSAULT/OTHER/INJURY,2701 Simple Assault. / 2702 Aggravated Assault. / 2706 Terroristic Threats.,2814,2,5,-80.05119827,40.44700422
2802357,16000095,10,2016-01-01T01:35:00,"2800 Block Wadlow ST Pittsburgh, PA 15212",Y,Marshall-Shadeland,1,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",2715,1,1,-80.02842633,40.47014352
2802364,16000110,99,2016-01-01T01:41:00,"6300 Block Broad ST Pittsburgh, PA 15206",N,East Liberty,5,NA,3716 Accidents Involving Overturned Vehicles / 3745 Accidents Involving Damage to Unattended Veh.or Prop. / 9090 Recovered Firearm,1115,9,2,-79.91829017,40.46058003
2802363,16000101,23,2016-01-01T01:42:00,"500 Block East Ohio ST Pittsburgh, PA 15212",Y,East Allegheny,1,PUBLIC DRUNKENESS,5505 Public Drunkenness,2304,1,1,-80.00057528,40.45353917
2802374,16000111,10,2016-01-01T01:46:00,"2600 Block Penn AV Pittsburgh, PA 15222",N,Strip District,2,SIMPLE ASSAULT/NO INJURY,2701 Simple Assault.,203,7,6,-79.97835426,40.45489317
2803029,16000610,23,2016-01-01T01:50:00,"S 16th ST & E Carson ST Pittsburgh, PA 15203",Y,South Side Flats,3,PUBLIC DRUNKENESS,5505 Public Drunkenness,1702,3,4,-79.98271222,40.4288317
2801580,16001086,6,2016-01-01T02:00:00,"5500 Block Centre AV Pittsburgh, PA 15232",N,Friendship,5,THEFT/PROP-LOST/MISLAID/DEL,3921 Theft by Unlawful Taking or Disposition.,807,7,2,-79.93643514,40.45663345
2802822,16000485,7,2016-01-01T02:00:00,"2000 Block Spring ST Pittsburgh, PA 15210",Y,Arlington,3,MTR VEH THEFT (AUTO),3928 Unauthorized Use of Automobile and Other Vehicles.,1603,3,4,-79.97856138,40.41759497
2801778,16000303,7,2016-01-01T02:00:00,"1300 Block Federal ST Pittsburgh, PA 15212",N,Central Northside,1,MTR VEH THEFT (AUTO),3921 Theft by Unlawful Taking or Disposition.,2206,1,1,-80.00687314,40.45673145
2802385,16000115,23,2016-01-01T02:00:00,"S 20th ST & Sidney ST Pittsburgh, PA 15203",Y,South Side Flats,3,PUBLIC DRUNKENESS,5505 Public Drunkenness,1702,3,4,-79.97754858,40.42950594
2802387,16000124,10,2016-01-01T02:04:00,"East ST & Royal ST Pittsburgh, PA 15212",N,Spring Hill-City View,1,SIMPLE ASSAULT/INJURY,2701 Simple Assault.,2620,1,1,-79.99974662,40.46597777
2802388,16000126,10,2016-01-01T02:05:00,"Broadway AV & Shiras AV Pittsburgh, PA 15216",Y,Beechview,6,SIMPLE ASSAULT/INJURY,2701 Simple Assault.,1920,4,5,-80.03027909,40.40391362
2802406,16000135,10,2016-01-01T02:13:00,"300 Block Stratford AV Pittsburgh, PA 15232",Y,Friendship,5,SIMPLE ASSAULT/INJURY,2701 Simple Assault.,807,7,2,-79.93360519,40.4609519
2802442,16000183,10,2016-01-01T02:15:00,"Mckees Rocks BRDG & Ohio River BL Pittsburgh, PA 15212",Y,Brighton Heights,1,SIMPLE ASSAULT/INJURY,2701 Simple Assault.,2701,,,0,0
2802401,16000133,21,2016-01-01T02:24:00,"1400 Block Kinmount ST Pittsburgh, PA 15205",Y,Westwood,6,DRIVING UNDER INFLUENCE,3745 Accidents Involving Damage to Unattended Veh.or Prop. / 3802(a)(1) DUI - General Impairment / 3802(c) DUI - Highest Rate of Alcohol - BAC >= .16%,2811,2,5,-80.05445004,40.43280844
2802323,16000050,99,2016-01-01T02:30:00,"8800 Block Frankstown AV Pittsburgh, PA 15221",N,East Hills,5,NA,3743 Accidents Involving Damage to Attended Veh. or Property,1306,9,2,-79.87771018,40.4570063
2802410,16000144,99,2016-01-01T02:30:00,"1900 Block Pioneer AV Pittsburgh, PA 15226",N,Brookline,6,NA,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1917,4,4,-80.01596311,40.40396184
2802409,16000142,10,2016-01-01T02:30:00,"600 Block Commonwealth PL Pittsburgh, PA 15222",N,Golden Triangle/Civic Arena,2,SIMPLE ASSAULT/INJURY,2701 Simple Assault.,201,6,6,-80.0064055,40.44173292
2802412,16000150,4,2016-01-01T02:30:00,"S 19th ST & E Carson ST Pittsburgh, PA 15203",Y,South Side Flats,3,AGG ASSAULT/STRONGARM/INJURY,2701 Simple Assault. / 2702 Aggravated Assault. / 5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING,1702,3,4,-79.97913523,40.42867011
2802437,16000167,99,2016-01-01T02:55:00,"S 18th ST & Sarah ST Pittsburgh, PA 15203",N,South Side Flats,3,NA,3742 Accidents Involving Death or Personal Injury,1702,3,4,-79.98065191,40.42783836
2802414,16000159,24,2016-01-01T02:55:00,"1500 Block E Carson ST Pittsburgh, PA 15203",Y,South Side Flats,3,DISORDERLY CONDUCT,5503 Disorderly Conduct.,1702,3,4,-79.98330671,40.42868483
2802436,16000166,6,2016-01-01T03:00:00,"300 Block Station Square DR Pittsburgh, PA 15210",N,South Shore,3,THEFT FROM BUILDING,3921 Theft by Unlawful Taking or Disposition.,1921,2,5,-80.00625719,40.43444035
2802438,16000176,6,2016-01-01T03:19:00,"100 Block Carrington ST Pittsburgh, PA 15212",N,Central Northside,1,THEFT FROM AUTO,3934 Theft from Vehicle,2503,6,1,-80.00850322,40.45919644
2801504,16000216,8,2016-01-01T03:21:00,"Eccles ST & Conway ST Pittsburgh, PA 15210",N,South Side Slopes,3,ARSON (OTHER),3301(d.1) Dangerous Burning,1608,3,4,-79.97356199,40.41817019
2802443,16000187,5,2016-01-01T03:30:00,"3800 Block Howley ST Pittsburgh, PA 15201",Y,Lower Lawrenceville,2,BURGLARY/FORCE ENT/RES,2701 Simple Assault. / 2702 Aggravated Assault. / 2705 Recklessy Endangering Another Person. / 3502 Burglary. / 5503 Disorderly Conduct. / 5505 Public Drunkenness,603,7,2,-79.96085561,40.46281868
2802466,16000203,99,2016-01-01T03:38:00,"30 Block Cedricton ST Pittsburgh, PA 15210",N,Carrick,3,NA,9123 Miscellaneous Fire Other Investigation to Continue,2901,4,4,-79.99229933,40.4050352
2801502,16000204,10,2016-01-01T03:40:00,"2500 Block Bedford AV Pittsburgh, PA 15219",Y,Bedford Dwellings,2,SIMPLE ASSAULT/NO INJURY,2701(a)(3) Simple Assault - Attempts by Physical Menace ,509,6,3,-79.97278341,40.45052409
2802446,16000197,5,2016-01-01T03:40:00,"1600 Block Lowrie ST Pittsburgh, PA 15212",Y,Troy Hill-Herrs Island,1,BURGLARY/FORCE ENT/RES,3736 Reckless Driving / 3802(c) DUI - Highest Rate of Alcohol - BAC >= .16%,2406,1,1,-79.98355886,40.46274332
2802448,16000188,21,2016-01-01T03:54:00,"Liberty AV & 6th AV Pittsburgh, PA 15222",Y,Golden Triangle/Civic Arena,2,DRIVING UNDER INFLUENCE,3714 Careless Driving / 3802(a)(1) DUI - General Impairment / 3802(c) DUI - Highest Rate of Alcohol - BAC >= .16%,201,6,6,-80.00022762,40.44233323
2801276,16001617,4,2016-01-01T04:15:00,"1300 Block Wareman AV Pittsburgh, PA 15226",N,Brookline,6,AGG ASSAULT/STRONGARM/INJURY,2702 Aggravated Assault.,1918,4,4,-80.01277516,40.39048634
2801506,16000227,24,2016-01-01T04:16:00,"Meyran AV & Forbes AV Pittsburgh, PA 15213",Y,Central Oakland,4,DISORDERLY CONDUCT,5503 Disorderly Conduct. / 7728 Accidents and Accident Reports. / 601.12 Interference with Official Duties,405,3,3,-79.95831694,40.44057902
2801505,16000226,10,2016-01-01T04:27:00,"100 Block Rhine PL Pittsburgh, PA 15212",Y,Spring Hill-City View,1,SIMPLE ASSAULT/INJURY,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury",2620,1,1,-79.99409859,40.4667862
2801508,16000233,14,2016-01-01T04:30:00,"400 Block Oakland AV Pittsburgh, PA 15213",N,Central Oakland,4,CRIMINAL MISCHIEF,3502 Burglary.,406,3,3,-79.95348857,40.43864376
2801510,16000249,26,2016-01-01T04:50:00,"700 Block N Atlantic AV Pittsburgh, PA 15224",Y,Garfield,5,PROTECTIVE ORDERS,5506 Loitering and Prowling at Night / 2709(b) Stalking / 9093 Indirect Criminal Contempt,1016,9,2,-79.93785842,40.46921171
2801511,16000255,10,2016-01-01T05:08:00,"10 Block Uxor WY Pittsburgh, PA 15203",Y,South Side Flats,3,SIMPLE ASSAULT/INJURY,2701 Simple Assault.,1702,3,4,-79.98480668,40.42747009
2801695,16001901,99,2016-01-01T05:30:00,"Parkview AV & Swinburne ST Pittsburgh, PA 15213",Y,South Oakland,4,NA,9999 Miscellaneous Report (No Crime),409,3,3,-79.95281765,40.43166399
2801521,16000307,6,2016-01-01T06:00:00,"400 Block S Main ST Pittsburgh, PA 15220",N,West End,6,THEFT/ALL OTHERS,3921 Theft by Unlawful Taking or Disposition.,2019,2,5,-80.03311238,40.44170015
2801338,16000869,4,2016-01-01T07:00:00,"1700 Block Brownsville RD Pittsburgh, PA 15210",N,Carrick,3,DISCHARGE OF FIREARM INTO OCC.STRUCTURE,3304 Criminal Mischief.,2902,4,4,-79.987716,40.39763576
2801519,16000293,14,2016-01-01T07:30:00,"2400 Block Patterson ST Pittsburgh, PA 15203",N,South Side Slopes,3,CRIMINAL MISCHIEF,3304 Criminal Mischief.,1608,3,4,-79.97254663,40.41924758
2801650,16001859,14,2016-01-01T07:40:00,"Lothrop ST & Victoria ST Pittsburgh, PA 15213",N,West Oakland,4,CRIMINAL MISCHIEF (AUTO),3304 Criminal Mischief. / 2707.1 Discharge of a Firearm into Occupied Structure,402,8,3,-79.96072788,40.44182017
2801518,16000290,14,2016-01-01T07:45:00,"Davison ST & 42nd ST Pittsburgh, PA 15201",N,Central Lawrenceville,2,CRIMINAL MISCHIEF (AUTO),3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,902,7,2,-79.95873802,40.46932356
2801867,16000436,99,2016-01-01T08:00:00,"4600 Block Penn AV Pittsburgh, PA 15224",N,Bloomfield,5,NA,3745 Accidents Involving Damage to Unattended Veh.or Prop.,903,7,2,-79.94946421,40.46573075
2801897,16002210,14,2016-01-01T08:00:00,"6700 Block Lyric ST Pittsburgh, PA 15206",Y,Lincoln-Lemington-Belmar,5,CRIMINAL MISCHIEF (AUTO),3304 Criminal Mischief.,1203,9,2,-79.9036685,40.46366864
2801851,16000415,7,2016-01-01T08:00:00,"100 Block Home ST Pittsburgh, PA 15201",N,Lower Lawrenceville,2,MTR VEH THEFT (AUTO),3921(a) Theft by Unlawful Taking or Disposition - Movable item,603,7,2,-79.96069455,40.4751079
2803175,16004550,99,2016-01-01T08:00:00,"2500 Block Edgar ST Pittsburgh, PA 15210",N,Carrick,3,NA,4304(a)(1) Endangering Welfare of Children.,2904,4,4,-79.98191973,40.3858648
2801520,16000298,7,2016-01-01T08:12:00,"800 Block Hillsboro ST Pittsburgh, PA 15204",N,Sheraden,6,MTR VEH THEFT (AUTO),3921 Theft by Unlawful Taking or Disposition.,2022,2,5,-80.05568656,40.45310201
2801788,16000313,14,2016-01-01T08:20:00,"40 Block Cowan ST Pittsburgh, PA 15211",N,Mount Washington,3,CRIMINAL MISCHIEF (AUTO),3304 Criminal Mischief.,1914,2,5,-80.01018445,40.42733592
2801799,16000344,99,2016-01-01T08:30:00,"1500 Block Lowrie ST Pittsburgh, PA 15212",N,Troy Hill-Herrs Island,1,NA,3743 Accidents Involving Damage to Attended Veh. or Property,2406,1,1,-79.98505311,40.46157656
2801785,16000309,14,2016-01-01T08:45:00,"500 Block Boggston AV Pittsburgh, PA 15210",N,Beltzhoover,3,CRIMINAL MISCHIEF,3304 Criminal Mischief. / 3503 Criminal Trespass,1809,3,4,-80.01010362,40.41656195
2801846,16000405,99,2016-01-01T09:23:00,"1000 Block Ross AV Wilkinsburg, PA 15221",N,Outside City,OSC,NA,9123 Miscellaneous Fire Other Investigation to Continue,5599,,,-79.87974641,40.44090449
2801789,16000329,7,2016-01-01T09:25:00,"S 22nd ST & Mary ST Pittsburgh, PA 15203",N,South Side Flats,3,MTR VEH THEFT (AUTO),3921(a) Theft by Unlawful Taking or Disposition - Movable item,1609,3,4,-79.97490552,40.42571264
2801801,16000347,99,2016-01-01T09:30:00,"1700 Block Leolyn ST Pittsburgh, PA 15210",N,Carrick,3,NA,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2902,4,4,-79.98608614,40.39897178
2801793,16000331,7,2016-01-01T09:30:00,"1000 Block Smithton AV Pittsburgh, PA 15212",N,Marshall-Shadeland,1,MOTOR VEH THEFT/TRUCK-BUS,3921(a) Theft by Unlawful Taking or Disposition - Movable item,2715,1,1,-80.02507028,40.47457327
2801818,16000380,14,2016-01-01T09:30:00,"2100 Block Shady AV Pittsburgh, PA 15217",N,Squirrel Hill South,4,CRIMINAL MISCHIEF,3304 Criminal Mischief.,1408,5,3,-79.9188095,40.4343093
2801802,16000348,14,2016-01-01T09:30:00,"1700 Block E Carson ST Pittsburgh, PA 15203",N,South Side Flats,3,CRIMINAL MISCHIEF (AUTO),3304 Criminal Mischief.,1702,3,4,-79.98186901,40.4285852
2801795,16000333,99,2016-01-01T09:46:00,"100 Block Southern AV Pittsburgh, PA 15211",N,Mount Washington,3,NA,9496 Dead on Arrival (DOA),1914,2,5,-80.0091631,40.42704095
2801797,16000335,14,2016-01-01T09:50:00,"100 Block Pius ST Pittsburgh, PA 15203",N,South Side Slopes,3,CRIM MISCHIEF (GRAFFITI),9130 Graffiti Investigation,1706,3,4,-79.98114281,40.42432527
2801800,16000345,99,2016-01-01T10:00:00,"3200 Block Swinburne ST Pittsburgh, PA 15213",N,North Oakland,4,NA,3745 Accidents Involving Damage to Unattended Veh.or Prop.,403,3,3,-79.95222911,40.43157959
2802527,16000340,13,2016-01-01T10:07:00,"WEST MIFFLIN WEST MIFFLIN, PA 15122",Y,Outside City,OSC,RECEIVING STOLEN PROPERTY,3925 Receiving Stolen Property. / 1501 Drivers Required to be Licensed. / 9501 Bench Warrant,5599,,,0,0
2801798,16000342,10,2016-01-01T10:10:00,"Renwick ST Pittsburgh, PA 15210",Y,Allentown,3,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",1803,3,4,-79.99007474,40.42373041
2801804,16000354,14,2016-01-01T10:30:00,"1700 Block E Carson ST Pittsburgh, PA 15203",N,South Side Flats,3,CRIMINAL MISCHIEF (AUTO),3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,1702,3,4,-79.98186901,40.4285852
2802318,16000038,10,2016-01-01T10:30:00,"400 Block S Main ST Pittsburgh, PA 15220",Y,West End,6,SIMPLE ASSAULT/INJURY,2701 Simple Assault.,2019,2,5,-80.03311238,40.44170015
2801828,16000392,14,2016-01-01T10:30:00,"10 Block Enon WY Pittsburgh, PA 15203",N,South Side Flats,3,CRIMINAL MISCHIEF (AUTO),"3304(a)(1) CRIMINAL MISCHIEF-Prop Damage By Fire, Explosives, or Other Dangerous Means",1702,3,4,-79.98590097,40.42747284
2801803,16000351,6,2016-01-01T10:40:00,"600 Block E OHIO ST Pittsburgh, PA 15212",N,East Allegheny,1,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,2304,1,1,-79.99897476,40.45396982
2804981,16009678,14,2016-01-01T11:00:00,"5300 Block Baum BL Pittsburgh, PA 15224",N,Bloomfield,5,CRIMINAL MISCHIEF,3304 Criminal Mischief.,806,7,2,-79.93958318,40.45658385
2801808,16000360,14,2016-01-01T11:10:00,"100 Block Almond WY Pittsburgh, PA 15201",N,Central Lawrenceville,2,CRIMINAL MISCHIEF (AUTO),3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,901,7,2,-79.96382362,40.47052854
2801815,16000379,26,2016-01-01T11:27:00,"100 Block Dunlap ST Pittsburgh, PA 15214",Y,Perry North,1,ALL OTHER OFFENSES(EXPT TRAFF),"633.09(a) Harboring a Nuisance; Any animal to create offensive odor, excessive noise or unsanitary condition",2607,1,1,-80.01465152,40.48636694
2801820,16000382,99,2016-01-01T11:40:00,"100 Block S 16th ST Pittsburgh, PA 15203",Y,South Side Flats,3,NA,9489 Found Property,1702,3,4,-79.98310596,40.42843857
2801842,16000401,7,2016-01-01T12:00:00,"7700 Block Bennett ST Pittsburgh, PA 15221",N,Homewood South,5,MTR VEH THEFT (AUTO),3921(a) Theft by Unlawful Taking or Disposition - Movable item,1304,9,2,-79.88846176,40.45454133
2801611,16000857,6,2016-01-01T12:00:00,"300 Block Shady AV Pittsburgh, PA 15206",N,Shadyside,4,THEFT/ALL OTHERS,3921 Theft by Unlawful Taking or Disposition. / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,706,8,2,-79.92252959,40.4567701
2812132,16029181,14,2016-01-01T12:00:00,"5600 Block Baum BL Pittsburgh, PA 15206",N,Friendship,5,CRIM MISCHIEF (GRAFFITI),3304 Criminal Mischief.,807,7,2,-79.93532738,40.45770893
2801830,16000394,99,2016-01-01T12:00:00,"3900 Block Winshire ST Pittsburgh, PA 15212",N,Brighton Heights,1,NA,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2701,1,1,-80.03895426,40.48567353
2807572,16017585,99,2016-01-01T12:01:00,"1900 Block Lowrie ST Pittsburgh, PA 15212",N,Troy Hill-Herrs Island,1,NA,9999 Miscellaneous Report (No Crime),2406,1,1,-79.98125718,40.46574269
2801834,16000398,6,2016-01-01T12:10:00,"800 Block River AV Pittsburgh, PA 15212",N,North Shore,1,THEFT FROM AUTO,3304 Criminal Mischief. / 4106 Access Device Fraud / 3934 Theft from Vehicle,2205,1,6,-79.99536382,40.45000615
2801855,16000418,99,2016-01-01T12:47:00,"Geyer AV & Eckert ST Pittsburgh, PA 15212",N,Marshall-Shadeland,1,NA,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2715,1,1,-80.03552648,40.47178987
2802799,16000441,99,2016-01-01T13:05:00,"1000 Block Sheffield ST Pittsburgh, PA 15233",Y,Manchester,1,NA,13(a)(32) Paraphernalia - Use or Possession / 9124 Drug Investigation,2107,6,1,-80.01979575,40.45410332
2802823,16000489,6,2016-01-01T13:30:00,"900 Block Brownsville RD Pittsburgh, PA 15210",Y,Carrick,3,THEFT/ALL OTHERS,3921 Theft by Unlawful Taking or Disposition.,2902,3,4,-79.9916961,40.40764129
2801858,16000431,7,2016-01-01T13:30:00,"1100 Block Wightman ST Pittsburgh, PA 15217",N,Squirrel Hill North,4,MTR VEH THEFT (AUTO),3921(a) Theft by Unlawful Taking or Disposition - Movable item,1402,8,3,-79.92967146,40.44750113
2801889,16002188,14,2016-01-01T13:30:00,"600 Block Peebles ST Pittsburgh, PA ",N,Regent Square,4,CRIMINAL MISCHIEF (AUTO),3304 Criminal Mischief.,1410,9,3,-79.89488092,40.43930469
2802795,16000437,5,2016-01-01T13:51:00,"1300 Block Rescue ST Pittsburgh, PA 15212",N,Spring Hill-City View,1,BURGLARY/FORCE ENT/NON-RES,3502 Burglary.,2620,1,1,-79.99215293,40.46677211
2802800,16000447,5,2016-01-01T14:00:00,"6800 Block Lyric ST Pittsburgh, PA 15206",N,Homewood West,5,BURGLARY/NO FORCE/RES,3304 Criminal Mischief. / 3502 Burglary.,1207,9,2,-79.90333462,40.46347153
2802807,16000458,8,2016-01-01T14:15:00,"5900 Block Hobart ST Pittsburgh, PA 15217",Y,Squirrel Hill South,4,ARSON(SINGLE OCC-OCCUPIED),3301 Arson  / 3302 Causing or Risking Catastrophe. / 3304 Criminal Mischief.,1408,5,3,-79.91882064,40.43402546
2802802,16000448,26,2016-01-01T14:25:00,"100 Block Kirk AV Pittsburgh, PA 15210",Y,Carrick,3,PROTECTIVE ORDERS,2709 Harassment (Non-Specific) / 9093 Indirect Criminal Contempt,2904,4,4,-79.97825424,40.38589174
2802798,16000438,6,2016-01-01T15:00:00,"20 Block S 27 th ST Pittsburgh, PA 15203",N,South Side Flats,3,MOTOR THEFT (AUTO)-PLATE ONLY,3934 Theft from Vehicle,1702,3,4,-79.96755159,40.42648531
